SMILES,pIC50
Brc1cccc(Nc2[nH]cnc3nc4ccccc4c2-3)c1,6.854648878356072
Brc1cccc(Nc2ccnc3ccccc23)c1,5.259637310505756
Brc1cccc(Nc2ncnc3c2[nH]c2ccccc23)c1.Cl,7.087092277507399
Brc1cccc(Nc2ncnc3c2ccc2[nH]cnc23)c1,6.565431095965801
Brc1cccc(Nc2ncnc3c2oc2ccccc23)c1,6.130768280269024
Brc1cccc(Nc2ncnc3c2sc2ccccc23)c1,7.75713928675921
Brc1cccc(Nc2ncnc3c2sc2ncccc23)c1,6.135488918941608
Brc1cccc(Nc2ncnc3c2sc2ncsc23)c1.CO,7.3979400086720375
Brc1cccc(Nc2ncnc3cc(NCCCCN4CCOCC4)ncc23)c1,8.267606240177031
Brc1cccc(Nc2ncnc3cc(NCCCN4CCOCC4)ncc23)c1,8.40638069008426
Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1,9.292429823902063
Brc1cccc(Nc2ncnc3cc(NCCN4CCOCC4)ncc23)c1,7.969273760456403
Brc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1,9.040958607678906
Brc1cccc(Nc2ncnc3cc4[nH]cc(CN5CCOCC5)c4cc23)c1,8.168243764792422
Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,9.356547323513812
Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1,11.096910013008056
Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,9.356547323513812
Brc1cccc(Nc2ncnc3cc4c(ccn4CCN4CCOCC4)cc23)c1,8.11383914663854
Brc1cccc(Nc2ncnc3cc4c(cnn4CCCN4CCOCC4)cc23)c1,7.584513301338674
Brc1cccc(Nc2ncnc3cc4c(cnn4CCN4CCOCC4)cc23)c1,7.5742485236147274
Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,7.1938200260161125
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,7.6020599913279625
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,6.623423042943488
Brc1cccc(Nc2ncnc3ccc4[nH]cnc4c23)c1,7.5376020021010435
Brc1cccc(Nc2ncnc3ccc4cc[nH]c4c23)c1,8.906578314837764
